timestamp	Catch	Curse	Detorid	Feythabolis	Great Wildlands	Immensea	Impass	Insmother	Omist	Scalding Pass	Tenerifis	Wicked Creek
2016-01-12 00:00:00	2394.44444444	1428.77777778	1171.77777778	7378.75	194.0	1081.77777778	3577.55555556	1209.77777778	2576.375	1358.33333333	3652.375	2507.11111111
2016-01-12 12:00:00	3572.56837607	1487.15811966	850.465811966	7324.29807692	239.192307692	1201.65811966	3992.2008547	1370.35042735	3843.6875	1653.35897436	4975.57211538	2147.59401709
2016-01-13 00:00:00	3417.54558405	1446.74430199	839.060541311	8304.28205128	250.378205128	1135.27207977	3668.91168091	1534.45584046	3210.79166667	1581.98931624	4668.18696581	2172.50712251
2016-01-13 12:00:00	3410.77457265	1564.09668803	896.718482906	8430.19230769	244.033653846	1206.99252137	3593.52991453	1618.88034188	3230.82451923	1500.68429487	5238.83253205	1990.89957265
2016-01-14 00:00:00	3182.4042735	1495.1542735	933.867094017	8424.13846154	244.165384615	1213.7017094	3585.13162393	1529.68888889	3022.84423077	1396.59358974	4865.60448718	2045.18119658
2016-01-14 12:00:00	3224.51638177	1518.10292023	912.478988604	8651.15384615	238.137820513	1278.52065527	3808.21225071	1480.34330484	3021.99839744	1357.62286325	4584.56784188	1970.34330484
2016-01-15 00:00:00	3142.89316239	1500.57173382	881.410561661	8393.93406593	238.25	1282.18253968	3760.08302808	1433.4041514	2968.9217033	1303.66575092	4453.90430403	2049.43711844
2016-01-15 12:00:00	3226.84401709	1552.64610043	845.567574786	8450.17147436	247.822916667	1270.50347222	3807.74973291	1489.20779915	3114.51482372	1294.80128205	4628.57251603	2028.1116453
2016-01-16 00:00:00	3401.30769231	1559.59695513	834.431891026	8359.27003205	252.572916667	1330.82932692	3704.19951923	1509.47596154	3255.06410256	1247.50961538	4661.79487179	2035.42467949
2016-01-16 12:00:00	3374.46153846	1626.02003205	855.758814103	8581.88541667	253.332532051	1392.20432692	3613.03605769	1486.07211538	3253.38141026	1172.0	4485.79487179	2128.0400641
