timestamp	Catch	Esoteria	Paragon Soul	Providence	Stain
2016-01-12 00:00:00	2394.44444444	5414.875	2513.125	3989.77777778	1638.11111111
2016-01-12 12:00:00	3572.56837607	9335.9375	4096.48557692	5816.92735043	1798.05555556
2016-01-13 00:00:00	3417.54558405	7801.65277778	3333.99038462	5759.72934473	1716.67592593
2016-01-13 12:00:00	3410.77457265	8211.22035256	3540.20432692	6363.66239316	1831.81463675
2016-01-14 00:00:00	3182.4042735	7650.46858974	3361.33269231	6154.74529915	1735.99017094
2016-01-14 12:00:00	3224.51638177	7810.68536325	3608.45673077	6471.77492877	1781.68411681
2016-01-15 00:00:00	3142.89316239	7543.40064103	3304.95192308	6406.33455433	1751.78418803
2016-01-15 12:00:00	3226.84401709	7694.29847756	3150.18709936	6704.04273504	1824.5715812
2016-01-16 00:00:00	3401.30769231	7509.45833333	3116.62339744	6877.37820513	1814.54807692
2016-01-16 12:00:00	3374.46153846	6870.43910256	3081.21955128	6970.63782051	1931.00961538
2016-01-17 00:00:00	3369.91987179	7151.15785256	3138.64663462	7022.64823718	1959.84294872
2016-01-17 12:00:00	3676.12179487	7025.40785256	3039.81009615	7031.43669872	1973.88141026
2016-01-18 00:00:00	3730.25641026	6985.99599359	2926.81891026	7065.8125	1978.62820513
2016-01-18 12:00:00	3735.2275641	6885.18830128	2631.31891026	7185.3125	1980.06089744
2016-01-19 00:00:00	3691.16987179	6821.56330128	2663.86698718	7303.52403846	2001.33012821
2016-01-19 12:00:00	3803.38009907	6776.44493007	2931.21736597	7229.47858392	2033.8083479
2016-01-20 00:00:00	3738.85125291	6836.31031469	2912.75582751	7494.81512238	2018.40450175
2016-01-20 12:00:00	3700.88009907	6624.62762238	2699.86159674	7443.1131993	1930.60642483
2016-01-21 00:00:00	3643.48426573	6572.10678904	2695.4657634	7454.49861597	1901.50225816
2016-01-21 12:00:00	3613.40734266	6619.11640443	2778.56191725	7379.67169289	1866.1657197
2016-01-22 00:00:00	3614.10525932	6742.39765443	2860.67650058	7613.47377622	1897.64488636
2016-01-22 12:00:00	3764.64372086	6895.02265443	3061.63803904	7649.4256993	1918.12565559
2016-01-23 00:00:00	3898.56679779	6851.82073135	3134.37842366	7705.83916084	1894.77950175
2016-01-23 12:00:00	3946.90865385	6776.48076923	2920.90304487	7909.99919872	1900.30128205
2016-01-24 00:00:00	4005.71634615	7102.85576923	3106.24919872	7835.44150641	1958.83974359
2016-01-24 12:00:00	4092.32211538	7214.16346154	3185.27804487	7963.73958333	1987.26282051
2016-01-25 00:00:00	4110.44711538	7086.42387821	3164.50721154	7917.94791667	2000.26282051
2016-01-25 12:00:00	4091.64903846	7129.25080128	3091.47836538	8094.0536859	2031.91666667
2016-01-26 00:00:00	4144.19070513	6918.93830128	3065.93669872	7955.2724359	1978.6875
2016-01-26 12:00:00	4227.73878205	6718.76522436	3223.60977564	7983.93589744	1951.85096154
2016-01-27 00:00:00	4124.35416667	6701.52644231	3220.08092949	7702.39102564	1944.21314103
2016-01-27 12:00:00	4016.80689103	6671.17147436	3523.58253205	7516.52644231	1884.59695513
2016-01-28 00:00:00	3967.43189103	6419.04647436	3427.09214744	7258.54567308	1845.27003205
2016-01-28 12:00:00	3966.70112179	6503.4599359	3388.85176282	7224.90144231	1809.32772436
2016-01-29 00:00:00	3850.22195513	6248.3036859	3441.81009615	7177.69310897	1791.68189103
2016-01-29 12:00:00	3659.39503205	6107.83253205	3511.47355769	7060.73157051	1751.70112179
2016-01-30 00:00:00	3652.90544872	6287.6025641	3461.46875	7040.5849359	1817.88701923
2016-01-30 12:00:00	3773.82772436	6561.18509615	3333.53285256	7307.61458333	1905.42628205
2016-01-31 00:00:00	3918.33733974	6692.28926282	3580.51362179	7456.95753205	1973.50641026
2016-01-31 12:00:00	4214.14503205	6996.04887821	3492.33092949	7859.66907051	1975.01602564
2016-02-01 00:00:00	4229.85737179	7082.68509615	3421.48477564	7905.03205128	1982.16586538
