timestamp	Branch	Deklein	Geminate	Pure Blind	Tenal	Tribute	Vale of the Silent	Venal
2016-01-12 00:00:00	8184.5	14835.5555556	4805.44444444	3322.0	2165.875	2840.33333333	6324.77777778	880.111111111
2016-01-12 12:00:00	9040.86538462	13909.3162393	6338.22222222	3519.76923077	3780.39903846	2990.3974359	6869.88888889	1109.44017094
2016-01-13 00:00:00	8675.60470085	14347.238604	5508.2037037	3176.09615385	3312.98824786	2916.93162393	6489.98148148	982.849002849
2016-01-13 12:00:00	9199.70352564	13949.2366453	6013.0758547	3425.09134615	3819.39503205	2974.83333333	6871.35149573	1124.29059829
2016-01-14 00:00:00	8864.82435897	14087.8047009	5810.3991453	3247.93461538	3535.94679487	2824.60512821	6986.68119658	1081.83247863
2016-01-14 12:00:00	8763.68696581	14716.8116097	6167.79415954	3360.15064103	3510.84027778	2822.96581197	7258.14458689	1168.28347578
2016-01-15 00:00:00	8702.76465201	14800.5198413	5978.92246642	3271.71153846	3451.24771062	2732.53113553	7074.17887668	1172.91330891
2016-01-15 12:00:00	9094.08573718	15232.7361111	6082.00507479	3350.33092949	3581.30008013	2850.31891026	7133.48985043	1272.6741453
2016-01-16 00:00:00	9079.60016026	15899.474359	6119.51682692	3234.84054487	3716.57532051	2845.29647436	6991.9599359	1301.44871795
2016-01-16 12:00:00	9124.70592949	16754.7051282	6249.23798077	3459.20592949	3632.80608974	2966.24839744	7085.27724359	1338.19871795
2016-01-17 00:00:00	9906.09134615	17049.4551282	6397.27964744	3551.12259615	3925.62900641	2898.1650641	7182.54807692	1411.42788462
2016-01-17 12:00:00	10581.1778846	18086.4166667	6443.29887821	3576.36298077	3996.00400641	3018.70352564	7431.65384615	1529.35096154
2016-01-18 00:00:00	11066.4831731	18432.7299679	6367.95192308	3532.48076923	4178.22435897	3174.54407051	7355.47676282	1531.96554487
2016-01-18 12:00:00	12015.1274038	18489.9991987	6319.96153846	3584.79807692	4516.35897436	3332.02483974	7205.57291667	1580.72516026
2016-01-19 00:00:00	12181.9639423	17938.5280449	6358.72115385	3665.77884615	4541.16666667	3318.56330128	7284.24599359	1534.27323718
2016-01-19 12:00:00	12936.2518211	17461.587704	6384.23914627	3631.127331	4660.36742424	3265.93640734	7429.7081148	1540.23914627
2016-01-20 00:00:00	13307.8575903	16677.1453963	6401.92183858	3690.127331	4702.44434732	3296.47486888	7601.63119172	1524.30645396
2016-01-20 12:00:00	13412.7422057	15851.4434732	6544.81606935	3445.45425408	4725.13665501	3241.37871503	7583.41003788	1528.80645396
2016-01-21 00:00:00	12773.2213724	15486.0893065	6489.97231935	3409.78758741	4560.29290501	3318.7641317	7534.81628788	1483.1085373
2016-01-21 12:00:00	12434.1156031	15080.6662296	6618.91462704	3311.39335664	4381.15828963	3277.3891317	7454.55667249	1402.38738345
2016-01-22 00:00:00	12396.3031031	15129.5828963	6759.61254371	3412.87252331	4438.71037296	3150.21204837	7477.25458916	1401.42905012
2016-01-22 12:00:00	11651.149257	14926.3617424	6912.13177448	3387.21867716	4506.95075758	3019.93320221	7555.93728147	1344.30405012
2016-01-23 00:00:00	11831.1973339	15288.2367424	6978.39138986	3389.87252331	4568.57575758	3183.87550991	7610.23535839	1389.22712704
2016-01-23 12:00:00	11587.2219551	15734.1666667	7242.23798077	3433.30528846	4571.09375	3242.14823718	7514.76282051	1381.12580128
2016-01-24 00:00:00	11677.6834936	16057.5224359	7228.56490385	3552.51682692	4706.55528846	3317.05208333	7546.95512821	1384.95272436
2016-01-24 12:00:00	12444.1161859	16224.4358974	7244.42067308	3634.68028846	4787.37259615	3443.73477564	7706.7724359	1345.20272436
2016-01-25 00:00:00	12978.9703526	15859.8942308	7431.59775641	3618.06570513	4743.26842949	3584.50560897	7911.88701923	1350.16105769
2016-01-25 12:00:00	13351.7491987	15597.1826923	7378.32852564	3578.52724359	4762.40304487	3586.78445513	7769.17548077	1312.84375
2016-01-26 00:00:00	13527.4887821	15196.4326923	7334.44310897	3504.41266026	4649.92387821	3637.83653846	7653.23798077	1302.14583333
2016-01-26 12:00:00	14663.9695513	14636.2692308	7163.97195513	3448.78766026	4600.2411859	3759.91346154	7658.77644231	1308.76121795
2016-01-27 00:00:00	14545.4415064	14525.6754808	7320.9911859	3236.37259615	4521.60737179	3838.83814103	7544.06971154	1260.44310897
2016-01-27 12:00:00	14435.2796474	13859.5584936	7372.81330128	3126.95032051	4423.68028846	3872.94391026	7465.65064103	1190.05929487
2016-01-28 00:00:00	14073.4238782	13395.8661859	7517.28445513	2922.65224359	4150.09375	3913.17467949	7544.4775641	1166.37660256
2016-01-28 12:00:00	13561.3084936	13223.9815705	7327.12099359	2702.82532051	4035.09375	3815.59775641	7421.32371795	1195.6650641
2016-01-29 00:00:00	13115.1834936	13256.8982372	7243.01682692	2560.48157051	4032.32291667	3713.25400641	7181.85496795	1174.01923077
2016-01-29 12:00:00	12807.5584936	12969.2059295	7329.00721154	2578.25080128	3905.74599359	3634.25400641	7244.03766026	1178.22115385
2016-01-30 00:00:00	12083.8741987	12672.0336538	7594.90705128	2750.24919872	3902.60657051	3728.65384615	7401.47355769	1218.38782051
2016-01-30 12:00:00	10631.6842949	12976.7307692	7956.49278846	2900.26522436	3570.54246795	3545.57051282	7547.27564103	1277.10176282
