timestamp	Guristas Pirates	Sansha's Nation	Angel Cartel	Blood Raiders	Serpentis Corporation
2016-01-12 00:00:00	43358.5972222	15950.3333333	28531.0555556	9445.77777778	6710.25
2016-01-12 12:00:00	47558.2986111	24619.974359	32658.1047009	10490.965812	7811.625
2016-01-13 00:00:00	45409.8935185	22029.5940171	32230.1253561	10142.8938746	7344.97222222
2016-01-13 12:00:00	47376.9778312	23357.6762821	32926.4594017	11053.4973291	7633.28685897
2016-01-14 00:00:00	46440.0284188	22084.9410256	31938.4752137	10819.367094	7365.62948718
2016-01-14 12:00:00	47768.6775285	22897.1175214	32045.9985755	11237.4853989	7612.46047009
2016-01-15 00:00:00	47184.7895299	22149.3644689	31408.6581197	11075.5808913	7363.58150183
2016-01-15 12:00:00	48596.9408387	22599.9439103	31956.5133547	11468.4978632	7397.30048077
2016-01-16 00:00:00	49188.7123397	22719.3157051	32151.4775641	11709.7179487	7372.84615385
2016-01-16 12:00:00	50610.3854167	22227.7676282	32221.9871795	12185.1121795	7190.0
2016-01-17 00:00:00	52321.71875	22642.2155449	32022.0392628	12537.5913462	7045.25
2016-01-17 12:00:00	54662.96875	22746.6578526	32455.9142628	12495.5048077	7011.66346154
2016-01-18 00:00:00	55639.8565705	22687.5120192	32132.7219551	12230.0032051	6841.69471154
2016-01-18 12:00:00	57044.568109	22417.1081731	32719.6738782	12037.7339744	6733.81971154
2016-01-19 00:00:00	56823.2411859	22481.4543269	32552.318109	12006.4358974	7045.60817308
2016-01-19 12:00:00	57309.457095	22774.3293269	32647.9374272	12080.9463141	7403.87332459
2016-01-20 00:00:00	57201.9090181	23001.1370192	32338.5912733	12058.2059295	7521.98870921
2016-01-20 12:00:00	56333.1878642	22399.0889423	31815.4470425	11727.1290064	7760.29640152
2016-01-21 00:00:00	55056.0524476	22267.0576923	31333.2595425	11425.2019231	8102.04640152
2016-01-21 12:00:00	53960.5812937	22256.9230769	31097.9230041	11170.5384615	8552.27717075
2016-01-22 00:00:00	54165.977127	22728.2980769	31100.9750874	11602.7988782	9034.90217075
2016-01-22 12:00:00	53303.9867424	23288.8557692	30709.9270105	11972.4719551	9225.47909382
2016-01-23 00:00:00	54239.6117424	23485.3846154	30732.1193182	12500.9719551	9066.74832459
2016-01-23 12:00:00	54706.0625	23454.5929487	30783.6666667	12590.2219551	9406.42067308
2016-01-24 00:00:00	55471.8028846	24009.1025641	31112.9262821	12627.3950321	9439.17067308
2016-01-24 12:00:00	56830.7355769	24442.7660256	31586.3108974	12493.2123397	9767.30528846
2016-01-25 00:00:00	57478.3501603	24279.5889423	31753.7483974	12516.1290064	9844.24278846
2016-01-25 12:00:00	57336.994391	24438.3485577	31622.5176282	12809.0520833	9783.81971154
2016-01-26 00:00:00	56805.9214744	24063.025641	31384.5697115	12378.6145833	9789.38221154
2016-01-26 12:00:00	57240.6907051	24105.900641	31554.7331731	12336.5761218	10120.0264423
2016-01-27 00:00:00	56793.4391026	23692.5657051	31785.4134615	11754.8966346	10292.8052885
2016-01-27 12:00:00	55746.9358974	23612.6842949	31767.1746795	11201.6081731	10092.7491987
2016-01-28 00:00:00	54683.349359	22917.3862179	31589.8862179	10937.3774038	10363.0472756
2016-01-28 12:00:00	53282.9166667	22893.2419872	31421.7708333	11128.5793269	10278.4415064
2016-01-29 00:00:00	52277.03125	22509.7107372	31209.59375	11143.9334936	10317.8894231
2016-01-29 12:00:00	51646.28125	22091.1338141	31022.6322115	11046.4815705	10251.5432692
2016-01-30 00:00:00	51352.1858974	22260.4487179	31847.9607372	11349.3429487	10282.1706731
2016-01-30 12:00:00	50405.6634615	22881.5865385	32817.3269231	11731.1762821	10381.0496795
2016-01-31 00:00:00	50518.2996795	23621.6041667	33054.6754808	12056.5192308	10517.1362179
2016-01-31 12:00:00	50761.4535256	24537.2099359	33581.9543269	12904.7788462	10816.4342949
2016-02-01 00:00:00	50061.8766026	24621.2251603	33710.2331731	13216.1241987	10482.6418269
2016-02-01 12:00:00	50238.8958333	24923.3020833	34452.8100962	13581.3838141	10474.1610577
2016-02-02 00:00:00	50362.8854167	25388.21875	34578.9559295	13837.9150641	10290.3798077
2016-02-02 12:00:00	49908.6354167	26026.3245192	35732.6866987	14219.1266026	10342.0240385
2016-02-03 00:00:00	49366.2411859	26094.6129808	35318.1866987	14524.1554487	10091.4086538
2016-02-03 12:00:00	49353.4599359	25203.2171474	35282.4054487	14533.2700321	9899.24198718
2016-02-04 00:00:00	48843.2195513	24708.0152244	35393.1554487	14562.4623397	9704.83814103
2016-02-04 12:00:00	48106.1522436	24477.380609	35828.7804487	14265.5488782	9292.02083333
2016-02-05 00:00:00	48632.3605769	24604.6410256	35570.1554487	14269.0072115	9184.3125
2016-02-05 12:00:00	48631.1778846	24386.5641026	35076.4054487	14251.1995192	9024.4375
2016-02-06 00:00:00	49002.9238782	25127.1426282	35263.6041667	14180.1169872	8975.41346154
2016-02-06 12:00:00	50732.9511218	25342.9519231	34452.3653846	14198.625	8860.44871795
2016-02-07 00:00:00	51979.1434295	25906.3173077	34383.6923077	14041.2788462	8823.08333333
2016-02-07 12:00:00	53027.6955128	26596.0464744	33544.0673077	13611.6955128	8746.02083333
2016-02-08 00:00:00	53745.9455128	26725.7483974	33187.4134615	13632.8974359	8460.64583333
2016-02-08 12:00:00	53112.349359	26016.3541667	31593.9134615	13537.6858974	8035.31891026
2016-02-09 00:00:00	52764.818109	25750.7604167	31561.5384615	13457.3629808	8031.60016026
2016-02-09 12:00:00	52005.5200321	25746.0777244	30954.125	13610.8245192	7884.93669872
